"","ID","First Name","Last Name","Team","Position","Price £m","TPts","B Pts","L3 Avg","% Owned","% OwnedTop 100","% OwnedTop 1000","averagePoints","GW Pts","G","SOT","BCC","Tck","A","YC","RC","PM","OG","SV","CS","GC","PPMs->","D","C","OS","PC%","I","B","FW","FM"
"","85971","Son","Heung-Min","Tottenham Hotspur","STR","5","251","14","0","12","","","7","0","17","40","20","21","10","1","0","0","1","0","0","0","","39","5","20","85","8","1","39","12"
"","244731","Luis","Díaz","Liverpool","MID","4.5","250","17","0","9.9","","","4.9","0","13","46","6","46","8","3","0","0","0","0","0","0","","89","7","25","83","6","0","59","67"
"","243298","Cody","Gakpo","Liverpool","STR","4.5","248","14","0","7.4","","","4.7","0","16","42","10","41","7","2","0","0","0","0","0","0","","49","16","14","78","17","4","63","46"
"","165809","Bernardo","Silva","Manchester City","MID","4.5","247","33","0","4.5","","","5.4","0","11","24","15","67","10","9","0","0","0","0","0","0","","44","26","3","89","28","6","35","31"
"","226597","","Gabriel","Arsenal","DEF","5","247","18","0","8.7","","","5","0","3","11","2","62","1","4","0","0","1","0","21","39","","2","1","3","87","38","40","41","49"
"","517052","Nicolas","Jackson","Chelsea","STR","4","247","9","0","1.5","","","5.6","0","17","49","11","28","7","10","0","0","0","0","0","0","","69","1","34","77","8","5","48","38"
"","122806","John","McGinn","Aston Villa","MID","4","245","39","0","1.7","","","4.8","0","9","22","13","74","8","11","1","0","0","0","0","0","","65","33","3","81","26","4","94","52"
"","154566","Dominic","Solanke","Bournemouth","STR","4","243","2","0","4.5","","","5.8","0","21","43","4","24","5","5","0","1","0","0","0","0","","40","3","18","73","7","5","49","45"
"","462424","William","Saliba","Arsenal","DEF","5","238","15","0","25.2","","","4.9","0","2","4","0","53","1","6","0","0","0","0","22","39","","12","1","0","91","36","20","19","36"
"","219847","Kai","Havertz","Arsenal","STR","4.5","236","5","0","10.6","","","4.7","0","14","34","13","55","10","13","0","0","0","0","0","0","","20","3","21","80","23","2","62","81"
"","493105","Alejandro","Garnacho","Manchester United","MID","4","236","20","0","9.6","","","4.7","0","10","40","10","35","11","4","0","0","0","0","0","0","","58","13","20","80","26","2","74","27"
"","430871","Matheus","Cunha","Wolverhampton Wanderers","STR","3.5","231","27","0","1","","","6.4","0","14","44","8","38","8","10","0","0","0","0","0","0","","73","2","8","80","16","8","55","32"
"","215711","Leon","Bailey","Aston Villa","MID","4","229","16","0","2.5","","","4.6","0","12","27","15","23","16","7","0","0","0","0","0","0","","85","34","13","75","12","1","40","39"
"","232413","Eberechi","Eze","Crystal Palace","MID","4.5","225","48","0","15.9","","","7.3","0","11","37","9","37","7","4","0","0","0","0","0","0","","77","40","11","83","11","2","55","31"
"","477424","Josko","Gvardiol","Manchester City","DEF","4.5","224","27","0","17.8","","","5.7","0","5","15","3","63","3","5","0","0","0","0","13","34","","34","4","4","88","41","14","29","31"
"","169187","Trent","Alexander-Arnold","Liverpool","DEF","5.5","223","35","0","17.5","","","6","0","3","11","19","48","13","7","0","0","0","0","11","34","","37","64","2","78","37","5","12","11"
"","216051","Diogo","Dalot","Manchester United","DEF","4","223","31","0","5.3","","","4.5","0","3","10","8","102","6","5","1","0","0","0","12","78","","48","31","3","81","52","23","17","57"
"","243016","Alexis","Mac Allister","Liverpool","MID","4","222","33","0","4.5","","","4.8","0","7","12","4","130","7","9","1","0","0","0","0","0","","25","13","1","86","45","10","67","72"
"","248875","Jérémy","Doku","Manchester City","MID","4","222","57","0","5.7","","","5.2","0","6","32","7","53","12","4","0","0","0","0","0","0","","132","20","6","86","11","0","54","21"
"","231747","Jean-Philippe","Mateta","Crystal Palace","STR","3.5","216","0","0","4.6","","","5.5","0","19","34","5","25","7","5","0","0","0","0","0","0","","29","5","27","73","5","4","25","36"
"","441164","Pedro","Porro","Tottenham Hotspur","DEF","4","216","30","0","12.5","","","5.8","0","4","13","13","98","8","4","0","0","0","0","8","55","","29","40","1","78","37","20","31","37"
"","224024","Lucas","Paquetá","West Ham United","MID","4","213","19","0","1.1","","","5","0","8","16","16","97","7","13","0","0","0","0","0","0","","53","12","6","74","24","2","85","65"
"","97032","Virgil","van Dijk","Liverpool","DEF","5","212","26","0","10.4","","","4.4","0","4","17","4","50","2","4","1","0","0","0","12","51","","3","0","1","91","48","42","14","28"
"","222531","Morgan","Gibbs-White","Nottingham Forest","MID","3.5","212","39","0","4.8","","","5","0","6","19","19","38","12","9","0","0","0","0","0","0","","45","62","6","76","19","8","65","40"
"","243557","Moussa","Diaby","Aston Villa","MID","3.5","212","4","0","0.7","","","4","0","10","35","14","21","12","4","0","0","0","0","0","0","","39","13","7","82","10","1","20","25"
"","103955","Raheem","Sterling","Chelsea","MID","3","208","21","0","1.5","","","4.8","0","10","28","13","31","12","8","0","1","0","0","0","0","","63","14","12","81","17","0","49","43"
"","215439","Tomás","Soucek","West Ham United","MID","3","206","10","0","0.4","","","4","0","10","22","5","69","4","9","0","0","0","0","0","0","","5","3","10","76","56","37","32","61"
"","58621","Kyle","Walker","Manchester City","DEF","4","205","25","0","11.5","","","4.8","0","0","6","9","48","5","2","0","0","0","0","14","39","","24","21","8","89","33","6","23","30"
"","77794","Kieran","Trippier","Newcastle United","DEF","4","204","39","0","10.6","","","5.2","0","1","3","19","74","11","5","0","0","0","0","9","51","","19","90","5","78","30","10","27","41"
"","202641","André","Onana","Manchester United","GK","4","204","0","0","6.8","","","4","0","0","0","0","2","0","7","0","0","0","193","13","83","","3","0","0","70","1","0","5","1"
"","211975","Manuel","Akanji","Manchester City","DEF","4.5","202","23","0","4.3","","","4.6","0","4","7","3","61","0","5","1","0","0","0","13","37","","4","3","0","91","31","15","31","26"
"","17761","James","Tarkowski","Everton","DEF","3","201","27","0","2.1","","","4.5","0","2","6","5","67","1","12","0","0","0","0","16","55","","19","3","1","76","67","59","29","53"
"","169528","Antonee","Robinson","Fulham","DEF","3","201","41","0","3","","","4.6","0","0","8","6","111","7","6","0","0","2","0","9","68","","49","35","3","74","90","10","24","36"
"","448047","Enzo","Fernández","Chelsea","MID","3.5","201","29","0","0.8","","","5","0","7","29","7","84","4","10","0","1","0","0","0","0","","24","13","4","85","25","16","49","41"
"","232928","James","Garner","Everton","MID","2.5","199","38","0","0.5","","","4.5","0","2","12","9","115","3","7","0","0","0","0","0","0","","24","34","3","78","54","15","52","47"
"","433154","Dwight","McNeil","Everton","MID","3","199","41","0","0.2","","","4.9","0","3","17","18","51","9","3","0","0","0","0","0","0","","32","74","5","77","25","7","38","19"
"","424876","Dominik","Szoboszlai","Liverpool","MID","4","198","28","0","5.1","","","4.4","0","7","28","9","37","6","1","0","0","0","0","0","0","","28","36","3","84","23","3","34","36"
"","116216","Leandro","Trossard","Arsenal","MID","4","196","4","0","2.6","","","4.4","0","16","28","4","31","3","2","0","0","0","0","0","0","","31","18","10","74","11","1","30","23"
"","444145","Gabriel","Martinelli","Arsenal","MID","4","196","25","0","4.6","","","4.6","0","8","27","10","35","7","1","0","0","0","0","0","0","","62","31","9","81","7","1","30","33"
"","444884","Harvey","Elliott","Liverpool","MID","3","196","18","0","3.5","","","3.7","0","4","32","12","49","14","4","0","0","0","0","0","0","","26","33","3","86","14","1","23","16"
"","88894","Ross","Barkley","Aston Villa","MID","3.5","194","37","0","1.6","","","5.2","0","5","25","9","53","7","6","0","0","0","0","0","0","","68","14","0","84","25","12","41","28"
"","199798","Ezri","Konsa","Aston Villa","DEF","4","194","54","0","6.1","","","4","0","1","6","1","67","1","7","1","0","0","0","11","71","","22","4","0","92","33","24","86","21"
"","154561","David","Raya","Arsenal","GK","4.5","193","0","0","13.9","","","4.7","0","0","0","0","1","0","2","0","0","0","63","20","31","","0","0","0","71","0","0","4","0"
"","486672","Moisés","Caicedo","Chelsea","MID","3","192","38","0","0.5","","","4","0","1","6","7","128","4","14","0","0","0","0","0","0","","30","0","0","90","48","26","70","74"
"","180135","Sean","Longstaff","Newcastle United","MID","2.5","191","15","0","0.4","","","4.2","0","8","21","6","73","3","8","0","0","0","0","0","0","","15","9","2","80","28","8","48","36"
"","480455","Jarrad","Branthwaite","Everton","DEF","3.5","190","13","0","6.6","","","4.6","0","3","5","1","76","1","8","0","0","0","0","15","48","","5","1","5","77","57","39","25","27"
"","497894","Rasmus","Højlund","Manchester United","STR","4","190","0","0","2.8","","","4.4","0","16","30","1","14","2","2","0","0","0","0","0","0","","27","2","18","75","2","3","42","30"
"","119471","Fabian","Schär","Newcastle United","DEF","3.5","189","20","0","8.6","","","4","0","5","13","2","55","3","9","0","0","0","0","12","68","","13","3","1","80","45","46","32","42"
"","445044","Dejan","Kulusevski","Tottenham Hotspur","MID","3","188","16","0","2.9","","","4.8","0","8","24","14","66","3","7","0","0","0","0","0","0","","58","22","11","80","19","1","33","56"
"","158499","Ryan","Christie","Bournemouth","MID","2.5","184","35","0","0.1","","","4.3","0","1","15","10","95","5","6","0","0","0","0","0","0","","54","22","5","78","56","12","45","50"
"","78916","Dan","Burn","Newcastle United","DEF","3","181","8","0","7.1","","","4.2","0","4","8","4","77","2","4","0","0","0","0","11","52","","5","4","5","79","40","30","11","40"
"","171287","Joe","Gomez","Liverpool","DEF","3.5","181","19","0","1.6","","","3.5","0","0","4","4","79","5","7","0","0","0","0","11","34","","24","19","0","84","37","12","22","37"
"","171314","Rúben","Dias","Manchester City","DEF","4.5","181","20","0","6.1","","","4.2","0","0","11","1","57","2","3","0","0","2","0","13","39","","1","4","0","94","43","21","22","38"
"","194634","Diogo","Jota","Liverpool","STR","4.5","180","2","0","2.6","","","5.6","0","15","28","8","29","8","1","1","0","0","0","0","0","","25","1","3","74","10","1","33","34"
"","80146","Jordan","Ayew","Crystal Palace","STR","2.5","179","32","0","0.5","","","4.8","0","4","20","8","69","8","7","1","0","0","0","0","0","","57","20","7","80","18","3","101","48"
"","172780","James","Maddison","Tottenham Hotspur","MID","4","179","43","0","11.7","","","6","0","4","23","11","34","11","5","0","0","0","0","0","0","","34","25","2","85","13","3","75","21"
"","195851","Scott","McTominay","Manchester United","MID","3","179","5","0","1","","","4.2","0","10","27","5","59","3","4","0","0","0","0","0","0","","16","0","7","81","16","18","33","40"
"","61366","Kevin","De Bruyne","Manchester City","MID","6.5","178","14","0","9.8","","","7.1","0","6","25","25","19","19","3","0","0","0","0","0","0","","15","39","3","80","4","0","18","18"
"","111234","Jordan","Pickford","Everton","GK","3.5","177","0","0","7.4","","","4.2","0","0","0","0","1","0","5","0","0","1","129","14","54","","1","0","0","59","0","0","6","1"
"","109533","","Emerson","West Ham United","DEF","2.5","176","26","0","1.6","","","3.7","0","1","5","2","127","4","13","0","0","1","0","8","75","","32","13","1","82","46","16","40","37"
"","176297","Marcus","Rashford","Manchester United","STR","4","176","7","0","4.3","","","4.1","0","8","29","9","25","6","2","1","0","0","0","0","0","","62","4","17","78","5","1","25","17"
"","244723","Tyrick","Mitchell","Crystal Palace","DEF","3","175","5","0","1.5","","","4.3","0","2","5","5","115","3","6","0","0","0","0","11","61","","18","18","1","71","30","12","17","24"
"","535818","Simon","Adingra","Brighton and Hove Albion","MID","3","173","10","0","0.3","","","4.3","0","7","29","9","52","3","3","0","0","0","0","0","0","","62","18","21","79","19","2","24","36"
"","199796","Matty","Cash","Aston Villa","DEF","3","172","15","0","4.1","","","3.9","0","4","18","6","79","3","11","0","0","1","0","7","51","","19","14","3","83","27","17","30","37"
"","156689","Andreas","Pereira","Fulham","MID","2.5","170","23","0","0.6","","","3.9","0","3","17","9","30","11","6","0","0","0","0","0","0","","24","78","3","75","4","4","33","25"
"","216646","Yoane","Wissa","Brentford","STR","2.5","170","0","0","0.6","","","4.7","0","12","29","7","30","4","8","0","0","0","0","0","0","","24","5","24","73","9","3","51","39"
"","448514","Rayan","Aït-Nouri","Wolverhampton Wanderers","DEF","3","169","39","0","1.3","","","4.4","0","3","10","4","75","4","8","0","0","0","0","5","47","","71","9","10","83","18","7","61","30"
"","179018","Miguel","Almirón","Newcastle United","MID","3","168","11","0","1.2","","","3.7","0","5","18","10","71","4","4","0","0","0","0","0","0","","27","4","13","85","17","3","38","23"
"","60689","Chris","Wood","Nottingham Forest","STR","2.5","167","0","0","0.9","","","4.8","0","15","29","3","8","1","1","0","0","0","0","0","0","","6","1","9","57","2","4","17","23"
"","98980","Emiliano","Martínez","Aston Villa","GK","3.5","167","0","0","18.9","","","3.6","0","0","0","0","1","0","7","0","0","2","125","13","61","","0","0","0","83","1","0","9","1"
"","224967","Vitalii","Mykolenko","Everton","DEF","3","166","9","0","1.6","","","4.9","0","2","5","3","80","1","1","0","0","1","0","12","40","","20","18","1","73","40","13","12","27"
"","482609","Malo","Gusto","Chelsea","DEF","3.5","165","26","0","1.8","","","4.5","0","0","7","10","78","9","7","1","0","0","0","7","35","","29","25","9","88","20","5","38","25"
"","151086","Mario","Lemina","Wolverhampton Wanderers","MID","2.5","162","13","0","0.2","","","4.2","0","5","20","3","94","1","10","1","0","0","0","0","0","","27","4","8","86","44","9","27","46"
"","449434","Anthony","Elanga","Nottingham Forest","MID","2.5","162","6","0","0.9","","","4.2","0","5","23","14","35","9","1","0","0","0","0","0","0","","33","10","19","73","9","2","28","11"
"","83299","Lewis","Dunk","Brighton and Hove Albion","DEF","3","161","27","0","2.9","","","3.7","0","4","14","2","38","1","7","1","0","0","0","9","62","","6","1","1","91","38","45","16","27"
"","205651","Gabriel","Jesus","Arsenal","STR","4.5","160","7","0","1.9","","","4.4","0","8","27","10","33","10","8","0","0","0","0","0","0","","46","1","17","80","14","1","38","34"
"","242898","Brennan","Johnson","Tottenham Hotspur","MID","3","160","4","0","2.3","","","4.2","0","5","26","12","31","12","4","0","0","0","0","0","0","","30","18","14","77","11","2","36","21"
"","174874","Joachim","Andersen","Crystal Palace","DEF","3","159","14","0","2.3","","","4","0","2","8","5","61","3","8","0","0","0","0","11","59","","14","11","1","77","45","19","25","44"
"","126184","Nathan","Aké","Manchester City","DEF","4.5","157","10","0","4.4","","","3.8","0","3","8","4","36","3","0","0","0","0","0","8","29","","7","3","0","89","15","3","24","15"
"","177815","Dominic","Calvert-Lewin","Everton","STR","3","156","1","0","1.3","","","4.1","0","8","36","5","18","4","3","1","0","0","0","0","0","","16","0","32","55","5","5","33","39"
"","80201","Bernd","Leno","Fulham","GK","3","154","0","0","1.5","","","3.8","0","0","0","0","0","0","4","0","0","1","144","10","65","","0","0","0","77","0","0","3","0"
"","212319","","Richarlison","Tottenham Hotspur","STR","3","154","1","0","0.1","","","5","0","12","28","3","17","4","3","0","0","0","0","0","0","","11","1","15","69","8","6","37","23"
"","88484","Pablo","Sarabia","Wolverhampton Wanderers","MID","2.5","153","20","0","0","","","4.3","0","4","20","11","25","11","7","0","0","0","0","0","0","","19","48","9","76","15","1","32","29"
"","166477","Timothy","Castagne","Fulham","DEF","2.5","153","16","0","0.7","","","3.9","0","1","5","1","51","3","3","0","0","0","0","10","45","","19","10","3","81","40","12","14","24"
"","121599","Abdoulaye","Doucouré","Everton","MID","2.5","152","5","0","0.3","","","4.3","0","7","23","4","46","4","7","0","0","0","0","0","0","","25","3","21","78","16","3","10","55"
"","122798","Andy","Robertson","Liverpool","DEF","4.5","152","25","0","5.4","","","5.1","0","3","8","11","43","2","2","0","0","0","0","6","28","","6","69","3","87","17","7","5","12"
"","221632","Cristian","Romero","Tottenham Hotspur","DEF","3.5","151","25","0","3.6","","","4.4","0","5","10","1","67","0","7","1","0","1","0","7","47","","5","0","1","91","44","24","26","33"
"","437730","Antoine","Semenyo","Bournemouth","MID","2.5","151","4","0","0.4","","","4.2","0","8","32","6","28","4","6","0","0","0","0","0","0","","59","9","6","74","7","2","26","46"
"","448089","João","Gomes","Wolverhampton Wanderers","MID","2.5","151","11","0","0.2","","","4","0","2","9","2","135","3","11","1","0","0","0","0","0","","26","14","1","82","22","8","41","74"
"","47431","","Willian","Fulham","MID","2.5","150","29","0","0.2","","","4.1","0","5","20","6","20","3","1","0","0","0","0","0","0","","39","25","1","84","10","0","33","10"
"","101188","Lucas","Digne","Aston Villa","DEF","3","150","18","0","1.7","","","3.3","0","2","5","5","62","4","9","0","0","0","0","8","56","","12","43","3","82","33","3","42","35"
"","164555","Vladimír","Coufal","West Ham United","DEF","2.5","150","16","0","0.6","","","3.2","0","0","4","7","73","7","6","1","0","0","0","8","80","","18","27","2","72","51","18","32","39"
"","184754","Hwang","Hee-Chan","Wolverhampton Wanderers","MID","3","150","5","0","0.8","","","4.8","0","13","19","4","20","3","7","0","0","0","0","0","0","","36","2","18","78","11","1","34","32"
"","201658","Marcus","Tavernier","Bournemouth","MID","2.5","149","17","0","0.1","","","4.3","0","4","20","7","58","4","3","0","0","0","0","0","0","","50","28","3","77","8","4","26","21"
"","209046","Callum","Hudson-Odoi","Nottingham Forest","MID","3","149","16","0","1.6","","","4.4","0","8","21","4","21","3","0","0","0","0","0","0","0","","47","13","13","86","7","1","35","17"
"","61256","","Casemiro","Manchester United","MID","3","148","8","0","0.7","","","4.6","0","5","14","4","101","4","9","1","0","0","0","0","0","","11","4","6","81","26","37","12","41"
"","116535","","Alisson","Liverpool","GK","4.5","147","0","0","7.5","","","4.6","0","0","0","0","0","0","1","0","0","0","95","11","32","","0","0","0","85","0","0","5","1"
"","214048","Maximilian","Kilman","West Ham United","DEF","2.5","147","20","0","2.9","","","3.3","0","2","7","5","52","1","8","0","0","0","0","8","71","","10","1","3","85","47","40","21","44"
"","446008","Bryan","Mbeumo","Brentford","MID","3.5","147","11","0","3.1","","","5.4","0","9","21","6","15","7","2","0","0","0","0","0","0","","28","31","3","68","7","2","42","22"
"","121160","","Ederson","Manchester City","GK","4.5","146","0","0","5.7","","","3.7","0","0","0","0","0","0","5","0","0","0","64","12","33","","1","0","0","87","0","0","4","2"
"","220362","Axel","Disasi","Chelsea","DEF","3.5","145","19","0","0.5","","","3.3","0","3","6","0","43","0","6","0","0","2","0","9","61","","16","3","4","90","25","28","21","23"
"","248857","Noni","Madueke","Chelsea","MID","3","145","18","0","0.8","","","4.3","0","8","22","2","26","4","2","0","0","0","0","0","0","","58","5","4","80","5","0","27","14"
"","469142","Jan Paul","van Hecke","Brighton and Hove Albion","DEF","2.5","144","23","0","0","","","3.7","0","0","6","2","65","2","9","0","0","1","0","9","53","","6","1","1","89","41","35","25","28"
"","149065","José","Sá","Wolverhampton Wanderers","GK","2.5","143","0","0","1.4","","","3.6","0","0","0","0","0","1","2","0","0","0","156","6","64","","3","0","0","59","0","0","11","0"
"","207283","Mathias","Jensen","Brentford","MID","2.5","143","18","0","0.1","","","4","0","4","8","10","58","4","5","0","0","0","0","0","0","","19","46","2","76","23","7","21","31"
"","221466","Marcos","Senesi","Bournemouth","DEF","2.5","143","11","0","0.5","","","4","0","4","4","3","61","5","15","0","0","0","0","9","48","","11","11","0","78","42","27","16","54"
"","244042","Rodrigo","Muniz","Fulham","STR","3","143","0","0","1.1","","","4.3","0","10","32","2","9","2","2","0","0","0","0","0","0","","8","0","5","56","6","3","42","29"
"","510362","Toti","Gomes","Wolverhampton Wanderers","DEF","2","141","16","0","0.5","","","3.4","0","2","7","2","53","4","7","0","0","0","0","7","56","","29","2","2","82","35","21","16","47"
"","153133","Alex","Iwobi","Fulham","MID","2.5","140","10","0","0.2","","","4","0","6","22","5","35","3","2","0","0","0","0","0","0","","41","14","8","80","16","0","6","13"
"","153682","Harry","Wilson","Fulham","MID","2","140","11","0","0.3","","","3.3","0","5","17","8","28","10","8","0","0","0","0","0","0","","20","13","6","75","15","3","47","23"
"","213999","Edson","Álvarez","West Ham United","MID","2.5","140","24","0","0.2","","","3.3","0","2","4","1","97","2","16","0","0","0","0","0","0","","34","1","1","85","54","25","26","57"
"","449871","Amadou","Onana","Aston Villa","MID","2.5","140","10","0","1.9","","","3.8","0","3","9","4","90","1","5","0","0","0","0","0","0","","12","1","2","84","30","9","60","49"
"","204580","Vitaly","Janelt","Brentford","MID","2","139","13","0","0","","","3.3","0","1","7","5","72","4","8","0","0","0","0","0","0","","8","25","4","79","46","10","29","29"
"","204716","Ibrahima","Konaté","Liverpool","DEF","4","139","15","0","2.7","","","3.8","0","0","2","1","59","1","5","1","0","0","0","10","30","","10","0","0","85","41","19","29","41"
"","206325","Oleksandr","Zinchenko","Arsenal","DEF","3.5","139","9","0","1.8","","","4","0","1","4","6","57","2","3","0","0","0","0","9","19","","7","5","1","89","24","3","11","8"
"","222683","Justin","Kluivert","Bournemouth","MID","2.5","139","2","0","0.4","","","3.9","0","9","24","2","32","2","6","0","0","0","0","0","0","","25","6","6","73","9","2","33","55"
"","465920","Mykhailo","Mudryk","Chelsea","MID","3","138","8","0","0.2","","","3.4","0","7","18","7","26","5","7","0","0","0","0","0","0","","46","18","1","77","12","2","36","24"
"","166989","Youri","Tielemans","Aston Villa","MID","3","138","7","0","1.2","","","3.1","0","3","12","6","54","8","6","0","0","0","0","0","0","","18","5","0","85","21","4","47","40"
"","200402","Nélson","Semedo","Wolverhampton Wanderers","DEF","2.5","135","21","0","0","","","3.3","0","1","8","2","86","2","11","1","0","0","0","6","68","","55","13","2","77","43","9","34","52"
"","516895","Kobbie","Mainoo","Manchester United","MID","3","135","23","0","16.2","","","4.2","0","5","8","0","60","1","4","0","0","0","0","0","0","","40","1","0","85","27","14","25","21"
"","184254","Guglielmo","Vicario","Tottenham Hotspur","GK","3.5","134","0","0","5.8","","","3.4","0","0","0","0","0","0","3","0","0","0","115","8","62","","0","0","0","84","1","0","8","0"
"","155408","Lewis","Cook","Bournemouth","MID","2.5","134","32","0","0","","","3.5","0","0","4","3","68","3","6","1","0","0","0","0","0","","23","39","2","81","69","14","20","46"
"","50175","Danny","Welbeck","Brighton and Hove Albion","STR","2.5","133","0","0","0.3","","","3.6","0","7","23","3","36","4","5","0","0","0","0","0","0","","11","1","10","79","10","1","24","18"
"","467169","","Antony","Manchester United","MID","3","133","16","0","0.2","","","3.5","0","3","21","7","51","2","6","0","0","0","0","0","0","","38","4","2","79","19","3","44","25"
"","477580","Illia","Zabarnyi","Bournemouth","DEF","2.5","133","14","0","0.2","","","3.2","0","1","3","0","62","0","5","0","0","0","0","10","70","","9","0","0","80","37","35","25","26"
"","441428","Jarell","Quansah","Liverpool","DEF","3","132","14","0","1.7","","","4","0","3","6","0","47","3","2","0","0","0","0","6","32","","13","0","2","89","35","12","7","22"
"","487053","Destiny","Udogie","Tottenham Hotspur","DEF","3.5","131","20","0","0.4","","","4.4","0","2","5","3","71","3","6","1","0","0","0","6","44","","27","2","3","86","39","8","42","53"
"","460028","Levi","Colwill","Chelsea","DEF","3.5","130","13","0","0.8","","","4.1","0","1","3","4","61","1","3","0","0","0","0","7","31","","11","1","4","84","35","15","19","28"
"","96994","Bobby","De Cordova-Reid","Leicester City","MID","2","129","2","0","0.2","","","3.1","0","7","11","4","30","5","4","0","0","0","0","0","0","","11","8","6","80","6","3","29","20"
"","18892","Ashley","Young","Everton","DEF","2","128","6","0","0.6","","","3.8","0","1","5","3","61","1","5","1","0","1","0","10","35","","14","25","1","72","24","6","24","33"
"","118342","Mark","Flekken","Brentford","GK","2.5","128","0","0","1.9","","","3.4","0","0","0","2","1","1","3","0","0","0","117","7","64","","3","0","0","69","0","0","4","2"
"","206915","Curtis","Jones","Liverpool","MID","3","128","18","0","0.5","","","3.6","0","5","13","3","41","4","3","1","0","0","0","0","0","","31","4","5","92","14","2","24","22"
"","247632","Pedro","Neto","Wolverhampton Wanderers","MID","3.5","128","29","0","1.6","","","5.3","0","3","13","7","8","13","5","0","0","0","0","0","0","","42","38","2","82","6","1","24","19"
"","128295","Christian","Nørgaard","Brentford","MID","2","127","12","0","0.1","","","3.8","0","2","7","7","83","1","8","0","0","0","0","0","0","","7","6","1","80","55","6","35","41"
